Name,Date,Time
Codeforces Round #670 (Div. 2),Sep/12/2020,19:05
Educational Codeforces Round 95 (Rated for Div. 2),Sep/14/2020,20:05
Codeforces Round #671 (Div. 2),Sep/19/2020,20:05
Codeforces Round #672 (Div. 2),Sep/24/2020,20:05
Technocup 2021 - Elimination Round 1,Sep/27/2020,20:35
"Codeforces Round #673 (Div. 1, based on Technocup 2021 Elimination Round 1)",Sep/27/2020,20:35
"Codeforces Round #673 (Div. 2, based on Technocup 2021 Elimination Round 1)",Sep/27/2020,20:35
Codeforces Round X,Sep/30/2020,20:05
Technocup 2021 - Elimination Round 2,Oct/25/2020,16:35
Technocup 2021 - Elimination Round 3,Nov/29/2020,12:35
